profitability,title,release_date
6,"For Your Eyes Only",1981-06-23
6,Octopussy,1983-06-05
6,Cloverfield,2008-01-15
6,"No Country for Old Men",2007-11-08
6,"Ride Along",2014-01-07
6,Chocolat,2000-12-14
6,"The Possession",2012-08-30
6,"Rocky Balboa",2006-12-20
6,"The Ides of March",2011-09-24
6,"The Game Plan",2007-09-28
6,"Bringing Down the House",2003-03-07
6,"Wayne's World",1992-02-14
6,"Mortal Kombat",1995-08-18
6,"The Jungle Book 2",2003-02-07
6,"Princess Mononoke",1997-07-12
6,Superbad,2007-08-17
6,"Step Up 2: The Streets",2008-02-14
6,Sideways,2004-10-22
6,"Saw: The Final Chapter",2010-10-21
6,"Pitch Perfect",2012-09-28
6,"Hot Fuzz",2007-02-14
6,"Vicky Cristina Barcelona",2008-08-15
6,"End of Watch",2012-09-20
6,"My Bloody Valentine",2009-01-16
6,"The Land Before Time",1988-11-18
6,Barbershop,2002-04-01
6,WarGames,1983-06-03
6,"Act of Valor",2012-02-24
6,"Das Boot",1981-09-16
6,"Jackass Number Two",2006-09-22
6,"Saw VI",2009-10-22
6,"2001: A Space Odyssey",1968-04-10
6,"The Boy",2016-01-22
6,Skyline,2010-11-11
6,"It's a Mad, Mad, Mad, Mad World",1963-11-07
6,Volver,2006-03-16
6,"Stand by Me",1986-08-22
6,"House at the End of the Street",2012-09-21
6,Caddyshack,1980-07-25
6,"Spring Breakers",2013-01-24
6,"Y Tu Mamá También",2001-06-08
6,"Fast Times at Ridgemont High",1982-08-13
6,"A Lonely Place to Die",2011-04-09
6,Network,1976-11-01
6,"Human Traffic",1999-06-04
6,"A Room with a View",1985-12-13
6,"Martin Lawrence Live: Runteldat",2002-08-01
6,"Beneath the Planet of the Apes",1970-05-01
6,"Friday the 13th Part VI: Jason Lives",1986-08-01
6,"Friday the 13th Part VII: The New Blood",1988-05-13
6,"To Kill a Mockingbird",1962-12-25
6,"Silent House",2011-01-21
6,"Winter's Bone",2010-06-11
6,"Mr. Smith Goes to Washington",1939-10-19
6,Niagara,1953-01-21
6,"Super Troopers",2001-01-18
6,Waiting...,2005-10-07
6,"Ayurveda: Art of Being",2001-09-20
5,"Avengers: Age of Ultron",2015-04-22
5,"Pirates of the Caribbean: Dead Man's Chest",2006-06-20
5,Skyfall,2012-10-25
5,"Alice in Wonderland",2010-03-03
5,"Transformers: Revenge of the Fallen",2009-06-19
5,"Transformers: Age of Extinction",2014-06-25
5,"Toy Story 3",2010-06-16
5,"Transformers: Dark of the Moon",2011-06-28
5,"The Dark Knight",2008-07-16
5,"The Jungle Book",2016-04-07
5,Inception,2010-07-14
5,"Shin Godzilla",2016-07-29
5,"The Fast and the Furious",2001-06-22
5,"Harry Potter and the Goblet of Fire",2005-11-05
5,"Madagascar 3: Europe's Most Wanted",2012-06-06
