title,popularity,release_date
"The Mechanic",44,2011-01-13
"Dawn of the Dead",44,2004-03-19
Equilibrium,44,2002-12-06
"Brokeback Mountain",44,2005-09-02
"City of God",44,2002-02-05
"John Carter",43,2012-03-07
"Jack the Giant Slayer",43,2013-02-27
"Star Wars: Episode II - Attack of the Clones",43,2002-05-15
"The Secret Life of Walter Mitty",43,2013-12-18
"Tropic Thunder",43,2008-08-09
"The Monuments Men",43,2014-01-24
"Due Date",43,2010-11-04
Unbroken,43,2014-12-25
"Yes Man",43,2008-12-09
"I Am Number Four",43,2011-02-18
Paul,43,2011-02-14
"The Tree of Life",43,2011-05-18
"Warm Bodies",43,2013-01-31
"Midnight in Paris",43,2011-05-11
"Corpse Bride",43,2005-09-09
"The Last Stand",43,2013-01-12
"School of Rock",43,2003-10-03
"Into the Wild",43,2007-09-11
"Hachi: A Dog's Tale",43,2009-06-13
"The Woman in Black",43,2012-02-01
"St. Vincent",43,2014-10-09
"The Perks of Being a Wallflower",43,2012-09-20
Boyhood,43,2014-06-05
"The Golden Compass",42,2007-12-04
"The Legend of Tarzan",42,2016-06-29
"Shrek the Third",42,2007-05-17
"After Earth",42,2013-05-30
"Rio 2",42,2014-03-19
"American Gangster",42,2007-11-02
"Ocean's Thirteen",42,2007-06-07
Unbreakable,42,2000-11-13
"AVP: Alien vs. Predator",42,2004-08-12
"Death Race",42,2008-08-22
"Perfume: The Story of a Murderer",42,2006-09-13
"2 Guns",42,2013-08-02
"Jack Ryan: Shadow Recruit",42,2014-01-15
"13 Hours: The Secret Soldiers of Benghazi",42,2016-01-13
"The Judge",42,2014-10-08
"The Host",42,2013-03-22
Flight,42,2012-11-02
"The Help",42,2011-08-09
"Bad Moms",42,2016-07-28
Hitman,42,2007-11-21
Wild,42,2014-12-05
"Saw II",42,2005-10-28
"47 Ronin",41,2013-12-06
Bolt,41,2008-11-21
"The Day After Tomorrow",41,2004-05-26
"The Tourist",41,2010-12-08
"The Mummy Returns",41,2001-04-28
"Lara Croft: Tomb Raider",41,2001-06-11
"Enemy at the Gates",41,2001-03-13
Click,41,2006-06-22
"The Day the Earth Stood Still",41,2008-12-10
